person_id,label,mean_x,mean_y,std_x,std_y,gaze_entropy,max_distance,avg_distance,avg_speed,total_movement,fixation_count,saccade_count,skew_x,skew_y,kurt_x,kurt_y,gaze_concentration,central_proportion,transition_frequency,silhouette_score,stability_ratio,direction_entropy,gaze_reversion_frequency
person_23,scripted,30.516018306636155,32.51830663615561,3.953376005012296,16.752090604649037,7.271731696477691,34.88552708502482,14.771143884062273,9.518648972389897,8309.78055289638,605,231,-0.46123426161144687,1.105561644681139,5.463842967366979,-0.7359342142273779,0.12814645308924486,0.7448512585812357,35,0.868956665263834,0.6922196796338673,1.736969923041195,23.97142857142857
person_23,spontaneous,26.753128555176335,15.896473265073947,5.302407251535031,0.9264396954201936,7.1904007011291045,37.21558813185679,17.334289248323735,1.1621738303234792,1020.3886230240148,838,23,-4.58914425771102,-1.8745698076465065,20.05271782340695,7.966261009242849,0.034129692832764506,0.18885096700796358,24,0.4997291766812753,0.9533560864618885,1.2675974819952853,35.625
person_24,scripted,30.716374269005847,26.53216374269006,0.7832213842399843,1.3819016316518191,6.821643114271867,10.04987562112089,5.685392076547827,0.6026824092046128,411.63208548675055,663,0,0.3052765694604929,-0.5282233380569173,0.68188821539519,0.4128267450785259,0.04678362573099415,1.0,1,0.4200106431143611,0.9692982456140351,1.4617493415292628,683.0
person_24,spontaneous,30.716374269005847,26.53216374269006,0.7832213842399843,1.3819016316518191,6.821643114271867,10.04987562112089,5.685392076547827,0.6026824092046128,411.63208548675055,663,0,0.3052765694604929,-0.5282233380569173,0.68188821539519,0.4128267450785259,0.04678362573099415,1.0,1,0.4200106431143611,0.9692982456140351,1.4617493415292628,683.0
person_25,scripted,48.2671568627451,44.622549019607845,12.049435426940624,17.207782976337658,6.830318202569161,43.840620433565945,23.411703675254888,7.2422026355150955,2947.576472654644,255,111,0.17547732224050866,0.09961262589545515,-1.7828489096316675,-1.9675472580807372,0.1323529411764706,0.5024509803921569,53,0.8528039679710423,0.625,1.749412392204735,6.69811320754717
person_25,spontaneous,34.03536345776031,27.43811394891945,0.802755414453051,2.4827358977892082,7.107432595388387,31.064449134018133,5.316647277024817,0.89805964820478,456.21430128802825,472,4,-0.17808181047096572,11.697932153491124,1.826339295372164,163.4265801208734,0.0550098231827112,0.9960707269155207,1,0.37622821322925615,0.9273084479371316,1.3484620054382175,508.0
person_26,scripted,21.246169560776302,30.55464759959142,13.429497534323072,14.05953694448997,6.987985477459484,42.5205832509386,20.44296135124048,9.345582346985761,9139.979535352075,405,371,0.26012784486989254,0.3869458536269933,-0.34267641988574704,-0.8254690807884826,0.5372829417773238,0.4371807967313585,178,0.4700922847103891,0.4136874361593463,2.1927817969802956,4.5
person_26,spontaneous,25.631460674157303,22.829213483146066,3.4827630736803554,7.969963351323481,6.4074647422470346,34.438350715445125,13.577135560802864,3.9642632024533797,1760.1328618893006,322,36,2.665343133676456,4.629521757385353,12.019393290980073,20.321962701858144,0.18876404494382024,0.9573033707865168,21,0.5214068823731971,0.7235955056179775,1.7428297939891997,20.19047619047619
person_27,scripted,32.86437613019891,21.027124773960217,1.6223240005059427,4.449514125972558,6.581720398849336,28.284271247461902,11.789723668959702,1.4672361456396725,809.9143523930992,477,11,-0.050324698446728315,7.784618587950594,2.4742175072710086,63.67952177556076,0.09403254972875226,0.9855334538878843,1,0.38568506129191316,0.8625678119349005,1.6616471768208432,552.0
person_27,spontaneous,33.38505747126437,20.904214559386972,1.6070880954082156,5.7184770948225605,6.601013043704618,32.89376840679705,12.178593517863456,2.02901660871292,1057.1176531394312,374,20,1.8259291920036163,5.745051958976793,10.020118072057047,39.44714789822518,0.13218390804597702,0.9597701149425287,1,0.5374693724891866,0.7164750957854407,1.6467361692545919,521.0
